ИНН,Зона,Дата_утверждения,prev_zone,next_zone,next_date,zone_change,step
100256002,Ж,2022-08-03 10:40:12,,К,2022-10-20 10:40:12,True,1
100256002,К,2022-10-20 10:40:12,Ж,Ж,2023-03-03 10:40:12,True,2
100256002,Ж,2023-03-03 10:40:12,К,З,2023-07-25 10:40:12,True,3
100256002,З,2023-07-25 10:40:12,Ж,,,True,4
101715200,Ч,2021-03-07 12:51:12,,З,2021-05-12 12:51:12,True,1
101715200,З,2021-05-12 12:51:12,Ч,К,2021-06-16 12:51:12,True,2
101715200,К,2021-06-16 12:51:12,З,,,True,3
101916085,К,2021-02-06 04:01:29,,Ч,2021-08-05 04:01:29,True,1
101916085,Ч,2021-08-05 04:01:29,К,Ж,2021-12-26 04:01:29,True,2
101916085,Ж,2021-12-26 04:01:29,Ч,,,True,3
106737289,К,2022-07-27 04:30:32,,Ж,2022-11-27 04:30:32,True,1
106737289,Ж,2022-11-27 04:30:32,К,К,2022-12-29 04:30:32,True,2
106737289,К,2022-12-29 04:30:32,Ж,Ч,2023-05-11 04:30:32,True,3
106737289,Ч,2023-05-11 04:30:32,К,К,2023-09-19 04:30:32,True,4
106737289,К,2023-09-19 04:30:32,Ч,,,True,5
106857924,Ч,2021-09-03 18:08:13,,К,2022-01-06 18:08:13,True,1
106857924,К,2022-01-06 18:08:13,Ч,З,2022-03-22 18:08:13,True,2
106857924,З,2022-03-22 18:08:13,К,Ж,2022-07-24 18:08:13,True,3
106857924,Ж,2022-07-24 18:08:13,З,З,2023-01-11 18:08:13,True,4
106857924,З,2023-01-11 18:08:13,Ж,,,True,5
108914484,З,2022-06-05 19:51:24,,Ж,2022-09-01 19:51:24,True,1
108914484,Ж,2022-09-01 19:51:24,З,Ч,2022-11-03 19:51:24,True,2
108914484,Ч,2022-11-03 19:51:24,Ж,К,2022-12-03 19:51:24,True,3
108914484,К,2022-12-03 19:51:24,Ч,Ч,2023-04-27 19:51:24,True,4
108914484,Ч,2023-04-27 19:51:24,К,,,True,5
109056800,Ж,2021-10-11 09:27:06,,З,2022-02-20 09:27:06,True,1
109056800,З,2022-02-20 09:27:06,Ж,К,2022-03-22 09:27:06,True,2
109056800,К,2022-03-22 09:27:06,З,Ч,2022-06-09 09:27:06,True,3
109056800,Ч,2022-06-09 09:27:06,К,,,True,4
109234038,К,2020-07-13 15:42:10,,Ж,2020-10-18 15:42:10,True,1
109234038,Ж,2020-10-18 15:42:10,К,Ч,2020-12-06 15:42:10,True,2
109234038,Ч,2020-12-06 15:42:10,Ж,Ж,2021-01-13 15:42:10,True,3
109234038,Ж,2021-01-13 15:42:10,Ч,К,2021-04-13 15:42:10,True,4
109234038,К,2021-04-13 15:42:10,Ж,З,2021-07-16 15:42:10,True,5
109234038,З,2021-07-16 15:42:10,К,,,True,6
109401639,К,2021-01-01 08:45:09,,Ж,2021-04-25 08:45:09,True,1
109401639,Ж,2021-04-25 08:45:09,К,З,2021-09-25 08:45:09,True,2
109401639,З,2021-09-25 08:45:09,Ж,Ч,2022-02-18 08:45:09,True,3
